"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"australian.wcnf",3600,3600,3600,3600,3600,3600,3600
"b14_C-mbd14-0225.wcnf",449.63,172.83,24.5,46.29,144.85,2994.23,24.54
"b14_C-mbd14-0307.wcnf",122.29,178.16,25.18,33.3,132.61,401.29,8.36
"b14-s_PathRelaxation_FS_14.wcnf",0.26,0.07,0.49,9.55,0.67,22.71,0.09
"b14-s_PathRelaxation_FS_16.wcnf",0.27,0.06,1.81,4.66,0.12,26.8,0.09
"b14-s_PathRelaxation_FS_25.wcnf",0.09,0.09,0.41,8.41,3.11,33.83,0.09
"b14-s_PathRelaxation_FS_46.wcnf",0.24,0.07,0.7,9.33,3.04,35.38,0.09
"b14-s_PathRelaxation_Set_FS_47.wcnf",4.16,0.83,5.28,28.36,4.55,349.44,0.69
"b17_C-mbd14-0304.wcnf",2.47,0.29,0.42,0.44,0.53,2.94,0.74
"b17_C-mbd14-0370.wcnf",5.71,0.46,0.4,0.43,1.2,20.95,1.14
"b18-s_PathRelaxation_Set_FS_32.wcnf",80.83,20.47,108.3,538.87,98.19,25.76,17.21
"b20_C-mbd14-0255.wcnf",41.36,1.87,3.91,25.91,16.31,184.15,2.74
"b20_C-mbd14-0328.wcnf",17.33,0.35,1.07,17.04,9.67,14.51,0.71
"b20_C-mbd14-0354.wcnf",14.17,0.63,1.12,22.41,13.8,125.46,1.18
"b21_C-mbd14-0205.wcnf",109.72,0.95,2.27,20.48,15.43,159.16,1.33
"b21_C-mbd14-0217.wcnf",19.02,0.36,1.24,14.3,16.88,17.59,0.88
"b21_C-mbd14-0267.wcnf",33.5,3.36,3.01,20.97,13.86,69.39,1.15
"b21_C-mbd14-0295.wcnf",166.67,13.71,16.32,36.7,64.57,500.79,10.38
"b21_C-mbd14-0349.wcnf",38.2,0.4,1.08,22.59,13.51,16.76,0.82
"b21-s_PathRelaxation_FS_28.wcnf",2.27,0.21,1.96,15.07,7.49,56.16,0.32
"b21-s_PathRelaxation_FS_42.wcnf",4.65,2.06,35.2,29.26,12.69,185.69,0.36
"b21-s_PathRelaxation_FS_47.wcnf",3.65,0.88,45.91,50.13,49.6,71.22,0.38
"b21-s_PathRelaxation_FS_48.wcnf",4.08,0.22,2.55,14.2,5.93,18.98,0.3
"b21-s_PathRelaxation_Set_FS_31.wcnf",15.67,5.78,44.29,221.61,75.77,595.64,2.16
"b22_C-mbd14-0222.wcnf",4.97,0.37,0.6,0.61,11.09,6.66,0.81
"b22_C-mbd14-0223.wcnf",6.26,0.36,0.55,0.59,0.81,14.76,0.74
"b22_C-mbd14-0240.wcnf",16.24,0.49,0.57,0.66,1.58,9.67,1.39
"b22_C-mbd14-0241.wcnf",11.17,0.4,0.61,0.82,8.26,5.6,1.01
"b22_C-mbd14-0300.wcnf",12.12,0.44,0.52,3.63,0.75,6.14,1.05
"bnn-last-layer-f10.wcnf",3600,3600,2778.92,1515.01,3600,3600,3600
"brock200_2clq.wcnf",91.55,42.4,33.67,61.25,35.52,12.57,10.08
"brock400_4clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"c-fat500-2clq.wcnf",31.63,0.4,12.12,16.69,24,0.39,0.36
"c5315_F1@0.wcnf",0,0,0,0.01,0.01,3600,0
"c6_DD_s3_f1_e2_v1-bug-fourvec-gate-0dimacsseqfiltered.wcnf",18.81,3.98,0.92,1.09,8.42,432.08,2.96
"causal_n5_i7_N1000_uai13_harddeps_int.wcnf",10.91,6.76,22.52,127.58,48.19,9.73,5.24
"causal_n5_i8_N10000_uai13_harddeps_int.wcnf",13.56,8.95,12.01,89.49,20.81,8.07,5.55
"causal_n5_i9_N10000_uai13_constant_int.wcnf",16.42,2.61,5.1,33.39,8.14,3.64,3.4
"causal_n6_i1_N500_uai13_harddeps_int.wcnf",256.46,240.41,233.18,780.79,366.78,127.27,84.37
"causal_n6_i3_N500_uai14_harddeps_int.wcnf",15.94,8.46,4.29,26.92,5.65,14.02,2.62
"causal_n6_i8_N1000_uai14_constant_int.wcnf",16.42,2.42,1.07,17.41,7.9,3.18,0.71
"causal_n7_i10_N1000_uai14_constant_int.wcnf",82.33,8.47,8.77,46.01,11.16,45.28,5.67
"causal_n7_i7_N1000_uai14_harddeps_int.wcnf",217.06,378.04,113.15,215.71,69.73,372.41,394.2
"causal_n7_i8_N1000_uai14_constant_int.wcnf",1.93,0.92,2.1,29.36,9.28,15.64,1.59
"causal_n7_i9_N1000_uai14_harddeps_int.wcnf",199.04,22.19,18.47,71.51,39.49,75.9,18.76
"cleve.wcnf",3600,3600,3600,3600,3600,3600,3600
"cleveland.wcnf",3600,3600,3600,3600,3600,3600,3600
"cloud.wcnf",0.14,3.65,0.21,0.23,0.94,3600,1.4
"cnf_10_center.wcnf",3600,188.41,3600,1849.86,655.22,1613.78,49.66
"cnf_10.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_12_center.wcnf",1535.43,43.1,235.64,322.75,109.6,208.42,22.09
"cnf_12.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_small.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf10p8.wcnf",244.93,68.64,29,135.48,91.75,21.79,14.69
"cnf12t9.wcnf",15.83,9.03,10.56,66.5,50.22,11.7,3.42
"cnf13p8.wcnf",195.89,49,32.39,96.98,63.44,77.71,13.38
"cnf13p9.wcnf",282.84,203.13,43.05,87.74,75.97,90.68,46.66
"cnf14t7.wcnf",21.27,10.74,10.41,66.58,68.81,8.27,3.83
"cnf15p7.wcnf",406.31,283.3,223.55,208.88,109.59,259.23,36.67
"cnf16p6.wcnf",297.44,43.78,236.3,198.16,118.61,60.18,45.23
"cnf16p7.wcnf",272.11,36.21,71.29,156.35,91.81,27.88,33.93
"cnf17p10.wcnf",902.7,275.73,361.49,300.17,167.08,531.21,473.38
"cnf18d7.wcnf",25.26,7.73,10.33,37.77,40.63,7.6,4.37
"cnf18p4.wcnf",105.56,18.38,27.7,138.09,61.02,23.04,68.3
"cnf18p5.wcnf",508.33,44.09,96.94,134.36,121.32,83.24,118.42
"cnf18p8.wcnf",588.63,145.66,284.76,214.3,102.61,194.48,49.93
"cnf18t9.wcnf",42.06,11.61,17.4,68.26,70.68,8.99,5.26
"cnf20d10.wcnf",18.62,9.29,13.17,41.88,59.73,10.59,5.07
"cnf20p5.wcnf",682.06,71.15,62.1,103.84,63.96,77.3,176.06
"cnf20p7.wcnf",559.11,93.9,223.28,122.82,121.6,239.4,372.65
"cnf8p7.wcnf",93.48,12.01,9.32,56.47,49.89,7.7,1.64
"cnf9p10.wcnf",146.93,32.14,12.79,84.2,36.82,18.73,4.6
"cnf9p8.wcnf",98.03,10.22,14.61,60.45,35.74,24.39,5.76
"compas_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"compas_train_8_CNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,67.74
"compas_train_9_DNF_3_1.wcnf",1408.51,3600,3600,3213.92,3408.19,3600,3600
"credit_train_0_CNF_4_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"credit_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ctrl.wcnf",47.67,0.08,0.25,1.4,0.39,0.11,0.1
"d4.wcnf",3600,3600,3600,3600,3600,3600,3600
"diabetes.wcnf",3600,3600,3600,3600,3600,3600,3600
"divider-debugdimacs.wcnf",20.05,5.24,1.22,1.42,14.32,77.49,2.23
"divider-problemdimacs_2filtered.wcnf",581.52,30.35,8.8,232.44,95.67,337.17,12.62
"dividers1dimacsfiltered.wcnf",20.67,0.7,0.26,0.55,7.36,1.56,0.69
"dividers9dimacsfiltered.wcnf",83.97,1,0.34,0.35,7.29,21.92,0.89
"dp06s06shuffledcnf.wcnf",2.3,1.67,276.37,123.38,341.63,34.24,0.88
"dp07s07shuffledcnf.wcnf",5.07,7.12,1036.21,1839.27,3600,441.97,6.28
"dp43.wcnf",36.51,10.77,3.36,30.55,38.4,13.96,11.95
"extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf",218.64,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_1_10_0.wcnf",586.96,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf",792.33,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf",644.81,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_2_10_1.wcnf",780.01,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf",105.45,3600,3600,3600,3600,3600,3600
"extension-enforcement_strict_com_100_005_0_30_3.wcnf",69.34,0.42,3600,3600,6.49,3600,2.56
"extension-enforcement_strict_com_150_005_0_15_2.wcnf",80.36,1.34,9.61,41.37,10.68,3600,6.99
"extension-enforcement_strict_com_150_005_3_30_0.wcnf",318.73,0.68,257.61,222.68,23.96,3600,9.73
"extension-enforcement_strict_com_150_005_4_15_1.wcnf",119.2,0.44,9.32,31.94,15.34,3600,6.78
"extension-enforcement_strict_com_150_02_4_8_3.wcnf",276.79,0.21,3600,3600,5.32,3600,3.01
"extension-enforcement_strict_com_200_005_1_40_1.wcnf",11.29,1.79,1.71,63.4,9.08,3600,13.57
"extension-enforcement_strict_com_200_005_4_20_3.wcnf",327.47,0.66,3600,3600,30.37,3600,17.32
"extension-enforcement_strict_com_200_02_1_10_0.wcnf",6.34,0.29,3600,1865.27,14.67,3600,5.59
"ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l3.wcnf",3.63,5.32,2.92,10.88,8.92,4.15,1.27
"fpu8-problemdimacs_24filtered.wcnf",52.7,5.33,1.46,67.7,64.92,38.46,4.14
"frb35-17-1partial.wcnf",4.04,3600,24.27,15.52,3600,16.01,1.02
"frb35-17-2partial.wcnf",2612.6,3600,21.89,43.65,3600,71.91,10.41
"frb35-17-3partial.wcnf",32.25,3600,3.63,13.98,3600,11.19,1.8
"frb35-17-5partial.wcnf",5.47,3600,57.34,20.37,3600,74.29,15.02
"frb40-19-1partial.wcnf",14.16,3600,47.03,14.38,3600,34.94,6.44
"frb40-19-2partial.wcnf",36.25,3600,26.47,34.15,3600,42.82,17.85
"frb40-19-3partial.wcnf",1654.06,3600,972.53,74.87,3600,1687.56,97.07
"frb40-19-4partial.wcnf",260.77,3600,4.36,158.92,3600,355.28,226.46
"frb40-19-5partial.wcnf",81.32,3600,237.38,75.08,3600,766.06,54.74
"ft10-808-1090.wcnf",131.05,54.77,43.82,299.62,153.33,20.1,47.08
"g2_n26e25_n48e52.wcnf",1157.7,0.25,0.17,1.5,3.1,0.21,0.15
"g2_n37e45_n71e77.wcnf",50.95,1.3,0.71,5.06,4.9,8.31,0.53
"g2_n38e39_n146e164.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n38e52_n53e67.wcnf",3600,54.13,19.09,24.02,13.28,54.19,11.07
"g2_n42e55_n44e53.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n44e59_n69e83.wcnf",3600,2868.66,1470.06,186.99,174.56,657.22,430.25
"g2_n45e48_n47e54.wcnf",774.47,173.88,100.98,33.19,46.54,227.25,64.6
"g2_n50e50_n58e61.wcnf",1325.72,17.82,11.74,13.48,10.24,432.77,9.91
"g2_n61e85_n120e154.wcnf",594.29,71.38,143.5,54.71,28.11,3600,41.99
"g2_n67e83_n68e73.wcnf",3600,1103.92,1258.79,262.02,153.69,3600,582.53
"g2_n92e110_n96e105.wcnf",74.12,1.25,1.26,4.59,5.41,40.61,1.01
"g3_n26e25_n27e26_n42e48.wcnf",3600,2459.77,3600,1265.5,821.54,1671.01,2170.78
"g3_n30e43_n32e44_n40e53.wcnf",3600,417.81,1159.54,70.19,62.3,151.26,233.54
"g3_n30e43_n40e53_n44e48.wcnf",3600,498.49,3600,148.86,118.83,190.65,264.46
"g3_n34e43_n59e60_n71e84.wcnf",393.28,148.19,468.97,38.24,35.1,197.13,98.12
"g3_n35e48_n41e57_n56e65.wcnf",3600,394.64,130.31,72.25,97.97,215.36,311.21
"g3_n37e36_n37e35_n39e39.wcnf",1410.61,768.83,1757.8,128.54,89.27,665.25,175.85
"g3_n39e39_n81e90_n91e99.wcnf",5.53,0.2,0.71,4.95,4.35,0.85,0.2
"g3_n39e42_n61e85_n72e77.wcnf",440.65,2031.82,1052.12,121.69,129.66,3329.46,2362.01
"g3_n52e77_n57e74_n58e75.wcnf",3600,10.53,81.33,123.33,23.91,308.63,29.5
"g3_n66e77_n66e72_n94e112.wcnf",3600,109.65,502.25,181.65,233.49,2412.34,50.52
"g3_n66e77_n74e84_n94e112.wcnf",3600,26.91,48.15,61.69,26.42,182.47,13.05
"g3_n67e86_n89e98_n130e150.wcnf",572.31,8.57,280.34,133.95,60.97,3600,2.54
"g4_n47e57_n58e61_n133e169_n141e184.wcnf",155.18,1.16,2.28,6.13,8.34,34.75,0.79
"g4_n58e71_n61e85_n100e127_n104e131.wcnf",433.32,18.29,133.36,21.82,24,30.6,12.45
"g4_n69e80_n69e80_n69e80_n79e87.wcnf",9.87,0.6,0.63,4.36,5.42,0.99,0.48
"g5_n39e38_n43e43_n61e61_n67e68_n82e119.wcnf",759.66,93.56,1133.67,437.59,24.03,149.76,38.65
"g6_n25e24_n28e29_n32e33_n37e37_n38e39_n40e39.wcnf",281.95,47.69,20.95,31.53,43.48,54.39,35.72
"g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf",386.35,48.13,57.41,39.62,67.83,3600,57.08
"g8_n44e59_n44e58_n47e63_n58e76_n67e94_n75e107_n123e161_n133e175.wcnf",463.19,10.68,15.58,18.42,29.22,95.85,10.03
"geffe128_1.wcnf",40.97,169.67,23.11,11.86,3600,3600,7.3
"geffe128_4.wcnf",6.18,341.77,99.19,33.53,3600,3600,439.34
"geffe128_5.wcnf",18.66,6.92,11.37,51.05,3600,3600,25.92
"geffe128_8.wcnf",24.92,223.9,416.99,73.92,3600,3600,48.53
"gen_add_4_33.wcnf",25.06,4.58,0.23,3.15,10.48,3600,0.1
"gen_add_5_33.wcnf",1300.75,3.91,3600,3600,149.34,3600,24.02
"gen_cvc-add3-carry2-gadget_33.wcnf",5.66,11.37,2.86,12.24,46.38,3600,0.65
"gen_cvc-add3-carry2-gadget_399.wcnf",4.48,1.7,1.66,6.46,15.95,3600,0.37
"gen_cvc-add3-carry2-gadget_9999.wcnf",2.36,52.17,1.12,7.33,10.43,1812.08,1.3
"gen_cvc-add7to3_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_cvc-plus_4_33.wcnf",21.23,0.12,0.12,1,55.86,3600,0.1
"gen_mult_3_5_399.wcnf",2.95,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_991.wcnf",33.32,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_9999.wcnf",1245.71,3600,3600,3600,3600,3600,3600
"gen_mult_3_6_399.wcnf",2.21,3600,3600,3600,3600,3600,3600
"gen_mult_4_4_9999.wcnf",2.94,3600,3600,1586.25,218.58,3600,3600
"gen_mult_4_5_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_mult_4_6_299.wcnf",16.14,3600,3600,3600,47.26,3600,8.65
"gen_mult_4_6_991.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_square_5_299.wcnf",1.69,0.25,0.16,0.17,45.53,3600,0.5
"gen_square_5_399.wcnf",2.93,0.49,3600,3600,54.31,3600,2.53
"GenHyperTW_2bitcomp_5.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_aim-50-1_6-yes1-3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_dubois21.wcnf",3600,3600,3600,709.88,275.25,3600,3600
"GenHyperTW_grid4d_3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_hole9.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-1-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-4-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-5-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_s208.wcnf",3600,3600,3600,3600,3600,3600,3600
"glass.wcnf",0.45,38.35,198.33,243.34,10.01,3600,60.17
"glass2.wcnf",0.19,11.52,0.11,0.12,0.86,3600,0.47
"GreeceWesternGreeceUniversityInstance4xml.wcnf",3600,3600,3600,3600,3600,3600,3600
"hamming8-2clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"heart_train_0_DNF_2_1.wcnf",11.84,47.77,26.97,27.35,11.17,16.51,2.23
"heart_train_0_DNF_3_1.wcnf",3600,3600,3600,3600,1128.66,3600,3600
"heart-h.wcnf",3600,3600,3600,3600,3600,3600,3600
"heatShock_WT_121_12lpsm-extracted.wcnf",2.79,1.07,12.91,13.04,3.71,2.64,5.62
"heatShock_WT_148_12lpsm-extracted.wcnf",2.63,1.01,12.88,12.97,3.46,3.15,5.42
"heatShock_WT_161_12lpsm-extracted.wcnf",2.7,1.04,13.64,13.76,3.79,2.17,5.58
"heatShock_WT_192_12lpsm-extracted.wcnf",2.78,1.04,13,13.16,3.66,2.59,5.52
"heatShock_WT_196_12lpsm-extracted.wcnf",2.77,1.07,13.76,14.05,3.4,2.17,5.56
"heatShock_WT_28_12lpsm-extracted.wcnf",2.88,1.13,13.05,13.32,3.67,5.65,5.97
"heatShock_WT_30_12lpsm-extracted.wcnf",3.15,1.14,13.78,13.9,3.61,4.72,5.71
"heatShock_WT_36_12lpsm-extracted.wcnf",2.94,1.08,13.74,13.87,3.62,2.52,6.07
"heatShock_WT_42_12lpsm-extracted.wcnf",2.65,1,13.56,13.74,3.76,2.66,5.48
"heatShock_WT_43_12lpsm-extracted.wcnf",2.76,1.04,12.95,13.12,3.57,2.65,5.3
"house-votes-84.wcnf",3600,3600,47.65,59.57,70.73,99.28,3600
"hungarian.wcnf",3600,3600,3600,3600,3600,3600,3600
"ilpd_train_4_CNF_2_1.wcnf",1.87,2.07,9.26,6.76,3.61,2.53,0.21
"ionosphere_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ionosphere_train_1_DNF_1_1.wcnf",0.44,0.01,0.53,5.22,0.22,0.49,0.02
"ionosphere_train_2_CNF_2_1.wcnf",3600,3242.84,3600,1266.89,226.48,1384.67,1012.78
"iris.wcnf",3.93,11.79,663.44,160.13,44.91,1338.56,1.48
"k50-23-49rnapre.wcnf",63.58,45.01,28.25,33.06,39.56,1.96,0.54
"k50-40-60rnapre.wcnf",57.03,29.1,147.02,100.5,48.23,1.15,0.51
"kbtree9_7_3_5_30_3wcsp.wcnf",76.15,701.63,8.33,18.1,12.64,176.44,68.47
"kbtree9_7_3_5_40_1wcsp.wcnf",378.07,3600,2446.21,3600,971.49,3600,3600
"kbtree9_7_3_5_40_3wcsp.wcnf",94.29,3600,213.64,540.81,493.84,3600,3600
"kbtree9_7_3_5_50_1wcsp.wcnf",71.51,3600,3093.3,3600,694.49,3600,3600
"kbtree9_7_3_5_50_4wcsp.wcnf",137.77,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_50_6wcsp.wcnf",62.44,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_60_1wcsp.wcnf",37.44,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_70_5wcsp.wcnf",61.65,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_2wcsp.wcnf",45.14,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_5wcsp.wcnf",26.24,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_90_4wcsp.wcnf",12.59,3600,2682.18,1934.23,3600,3600,3600
"kbtree9_7_3_5_90_5wcsp.wcnf",20.41,3600,3600,3600,2118.38,3600,3600
"keller4clq.wcnf",16.93,25.37,14.4,35.23,68.25,5.86,2.52
"keller5clq.wcnf",3600,3600,2980.74,548.67,695.35,3600,3600
"liver-disorder.wcnf",3600,3600,3600,3600,3600,3600,3600
"lupus.wcnf",1.98,0.82,1.33,11.31,6.57,607.06,0.77
"maxcut-140-630-07-15.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-07-48.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-34.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-36.wcnf",3600,3600,3600,3600,3600,3600,3600
"mem_ctrl-debugdimacs.wcnf",20.65,2.48,1.03,1.2,25.12,25.04,1.8
"mem_ctrl1dimacsfiltered.wcnf",57.94,46.08,6.36,8.04,140.17,949.77,16.95
"MinFill_R0_miles1500.wcnf",401.08,430.33,3600,3600,3600,3600,3600
"MinFill_R0_mulsoli2.wcnf",313.42,3600,3600,3600,1802.21,3600,3600
"MinFill_R0_mulsoli3.wcnf",381.08,3600,3600,3600,1175.03,3600,3600
"MinFill_R0_mulsoli4.wcnf",397.88,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel4.wcnf",1.45,4.58,3600,3600,3600,2047.99,1.28
"MinFill_R0_myciel5.wcnf",297.81,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel6.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel7.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_queen11_11.wcnf",3600,3600,3600,3600,3600,3600,3600
