"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"c6_DD_s3_f1_e2_v1-bug-fourvec-gate-0dimacsseqfiltered.wcnf",18.94,4.05,0.97,1.1,8.76,443.15,3.02
"causal_n5_i7_N1000_uai13_harddeps_int.wcnf",11.38,7.06,23.66,136.98,49.62,10.08,5.42
"causal_n5_i8_N10000_uai13_harddeps_int.wcnf",14.3,9.2,12.82,95.93,21.48,8.41,5.76
"causal_n5_i9_N10000_uai13_constant_int.wcnf",17.11,2.64,5.13,34.03,8.31,3.6,3.43
"causal_n6_i1_N500_uai13_harddeps_int.wcnf",372.75,304.81,297.21,988.96,460.04,168.92,100.16
"causal_n6_i3_N500_uai14_harddeps_int.wcnf",16.01,8.62,4.31,27.43,5.69,13.98,2.62
"causal_n6_i8_N1000_uai14_constant_int.wcnf",16.38,2.42,1.03,17.31,8.11,3.18,0.71
"causal_n7_i10_N1000_uai14_constant_int.wcnf",76.07,8.43,8.8,46.39,11.17,44.52,5.63
"causal_n7_i7_N1000_uai14_harddeps_int.wcnf",216.54,383.54,113.22,215.38,71.62,380.08,391.31
"causal_n7_i8_N1000_uai14_constant_int.wcnf",1.94,0.91,2.16,29.14,9.34,15.66,1.61
"causal_n7_i9_N1000_uai14_harddeps_int.wcnf",180.11,22.13,18.43,71.12,38.32,75.58,18.73
"cleve.wcnf",3600,3600,3600,3600,3600,3600,3600
"cleveland.wcnf",3600,3600,3600,3600,3600,3600,3600
"cloud.wcnf",0.13,3.65,0.2,0.23,0.94,3600,1.41
"cnf_10_center.wcnf",3600,192.25,3600,1885.47,657.96,1659.81,50.39
"cnf_10.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_12_center.wcnf",1527.3,43.73,238.38,325.89,110.24,210.5,22.33
"cnf_12.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_small.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf10p8.wcnf",242.35,68.91,29.88,138.76,93.84,22.09,15.03
"cnf12t9.wcnf",16.68,9.32,10.96,67.71,50.93,12.02,3.48
"cnf13p8.wcnf",311.78,49.55,33.13,98.73,64.32,79,13.66
"cnf13p9.wcnf",315.51,206.27,44.01,89.01,77.23,92.19,47.5
"cnf14t7.wcnf",34.57,10.87,10.82,67.72,69.85,8.39,3.9
"cnf15p7.wcnf",511.18,289.32,228.82,215.28,112.02,267.9,37.77
"cnf16p6.wcnf",282.09,45.1,243.23,203.67,121.59,62.66,46.43
"cnf16p7.wcnf",313.89,37.62,73.42,159.96,93.8,28.45,34.54
"cnf17p10.wcnf",807.07,282.18,377.25,308.04,168.54,555.84,494.76
"cnf18d7.wcnf",13.22,8.06,10.97,39.42,41.4,7.72,4.45
"cnf18p4.wcnf",104.34,18.61,28.42,140.4,62.62,23.87,69.66
"cnf18p5.wcnf",581.04,45.38,99.84,138.52,124.19,85.96,121.59
"cnf18p8.wcnf",515.98,149.83,297.47,222.86,105.74,204.25,51.8
"cnf18t9.wcnf",36.33,12.08,18.56,71.26,73.43,9.18,5.44
"cnf20d10.wcnf",14.64,9.35,13.98,43.49,61.11,10.92,5.28
"cnf20p5.wcnf",491.4,72.84,64.16,107.17,65.34,79.81,179.64
"cnf20p7.wcnf",538.74,97.15,230.7,127.88,125.9,251.38,383.6
"cnf8p7.wcnf",75.89,11.94,9.74,57.54,50.7,7.64,1.68
"cnf9p10.wcnf",182.77,32.81,13.09,85.76,37.32,18.93,4.72
"cnf9p8.wcnf",95.58,10.3,14.93,61.03,36.47,24.67,5.85
"compas_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"compas_train_8_CNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,68.08
"compas_train_9_DNF_3_1.wcnf",1414.14,3600,3600,3430.42,3600,3600,3600
"credit_train_0_CNF_4_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"credit_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ctrl.wcnf",47.78,0.08,0.25,1.4,0.4,0.11,0.1
"d4.wcnf",3600,3600,3600,3600,3600,3600,3600
"diabetes.wcnf",3600,3600,3600,3600,3600,3600,3600
"divider-debugdimacs.wcnf",19.93,5.47,1.22,1.39,14.76,82.89,2.27
"divider-problemdimacs_2filtered.wcnf",575.42,33.76,9.29,254.98,102.03,347.99,13.75
"dividers1dimacsfiltered.wcnf",19.39,0.8,0.28,0.59,8.21,1.64,0.75
"dividers9dimacsfiltered.wcnf",82.17,1.03,0.34,0.35,7.32,22.03,0.9
"dp06s06shuffledcnf.wcnf",2.31,1.66,276.13,123.54,342.34,34.28,0.88
"dp07s07shuffledcnf.wcnf",5.08,7.32,1037.92,1842.28,3600,441.77,6.28
"dp43.wcnf",25.68,10.82,3.38,30.85,38.38,13.8,11.94
"extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf",389.39,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_1_10_0.wcnf",1024.25,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf",1438.86,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf",1243.48,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_2_10_1.wcnf",782.56,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf",107.45,3600,3600,3600,3600,3600,3600
"extension-enforcement_strict_com_100_005_0_30_3.wcnf",148.48,0.43,3600,3600,6.58,3600,2.54
"extension-enforcement_strict_com_150_005_0_15_2.wcnf",108.73,1.38,9.71,42.05,10.77,3600,7.13
"extension-enforcement_strict_com_150_005_3_30_0.wcnf",320.1,0.69,261.48,225.4,24.42,3600,9.88
"extension-enforcement_strict_com_150_005_4_15_1.wcnf",130.92,0.44,9.68,32.7,15.7,3600,6.94
"extension-enforcement_strict_com_150_02_4_8_3.wcnf",227.87,0.22,3600,3600,5.44,3600,3.13
"extension-enforcement_strict_com_200_005_1_40_1.wcnf",11.45,1.85,0.03,67.11,9.16,3600,13.79
"extension-enforcement_strict_com_200_005_4_20_3.wcnf",648.36,0.67,3600,3600,31.04,3600,17.81
"extension-enforcement_strict_com_200_02_1_10_0.wcnf",6.31,0.32,3600,1960.91,15.25,3600,5.95
"ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l3.wcnf",3.65,5.36,2.94,10.92,0.63,4.18,1.27
"fpu8-problemdimacs_24filtered.wcnf",50.58,5.37,1.49,69.37,71.41,39.54,4.16
"frb35-17-1partial.wcnf",4.04,3600,24.41,15.6,3600,16.07,1.02
"frb35-17-2partial.wcnf",2622.16,3600,21.82,44.09,3600,72.18,10.45
"frb35-17-3partial.wcnf",31.29,3600,3.65,14,3600,11.24,1.8
"frb35-17-5partial.wcnf",5.48,3600,57.54,20.46,3600,74.23,15.01
"frb40-19-1partial.wcnf",14.07,3600,47.11,14.43,3600,35.01,6.46
"frb40-19-2partial.wcnf",36.42,3600,26.6,34.36,3600,43.07,17.93
"frb40-19-3partial.wcnf",3600,3600,989.53,75.18,3600,1705.19,97.51
"frb40-19-4partial.wcnf",262.7,3600,4.32,160.32,3600,357.68,227.59
"frb40-19-5partial.wcnf",81.5,3600,238.16,75.5,3600,776.05,55.11
"ft10-808-1090.wcnf",135.01,57.11,45.61,337.93,173.43,21.56,49.39
"g2_n26e25_n48e52.wcnf",2460.74,0.25,0.17,1.5,3.09,0.21,0.15
"g2_n37e45_n71e77.wcnf",45.37,1.3,0.71,5.05,4.9,8.48,0.53
"g2_n38e39_n146e164.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n38e52_n53e67.wcnf",3600,54.3,19.12,24,13.3,54.55,11.1
"g2_n42e55_n44e53.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n44e59_n69e83.wcnf",3600,2909.22,1506.38,188.25,175.62,670.49,433.54
"g2_n45e48_n47e54.wcnf",770.9,174.65,101.55,33.34,46.69,231.42,64.84
"g2_n50e50_n58e61.wcnf",1664.63,17.91,11.79,13.56,10.24,428.71,9.96
"g2_n61e85_n120e154.wcnf",561.78,70.77,144.4,54.57,28.27,3600,42.15
"g2_n67e83_n68e73.wcnf",3600,1120.48,1271.77,264.82,154.42,3600,583.72
"g2_n92e110_n96e105.wcnf",48.43,1.24,1.25,4.61,5.41,40.77,1.01
"g3_n26e25_n27e26_n42e48.wcnf",3600,2546.23,3600,1278.65,830.22,1687.58,2183.89
"g3_n30e43_n32e44_n40e53.wcnf",3600,419.9,1166.76,70.5,62.79,152.21,234.28
"g3_n30e43_n40e53_n44e48.wcnf",3600,503.46,3600,149.83,119.41,190.65,266.21
"g3_n34e43_n59e60_n71e84.wcnf",372.33,147.26,470.32,38.44,35.18,198.25,98.72
"g3_n35e48_n41e57_n56e65.wcnf",3600,391.24,130.98,72.55,98.54,216.38,313.81
"g3_n37e36_n37e35_n39e39.wcnf",1255.18,777.76,1818.31,128.92,89.63,669.88,176.09
"g3_n39e39_n81e90_n91e99.wcnf",3.82,0.2,0.71,4.96,4.38,0.84,0.21
"g3_n39e42_n61e85_n72e77.wcnf",371.38,2052.66,1065.49,121.94,130.15,3379.6,2366.87
"g3_n52e77_n57e74_n58e75.wcnf",3600,10.55,81.64,123.2,23.99,309.66,29.57
"g3_n66e77_n66e72_n94e112.wcnf",3600,111.33,506.16,182.08,233.84,2443.64,50.53
"g3_n66e77_n74e84_n94e112.wcnf",3600,27.37,48.55,61.88,26.52,183.17,13.09
"g3_n67e86_n89e98_n130e150.wcnf",575.43,8.61,281.89,134.07,61.18,3600,2.56
"g4_n47e57_n58e61_n133e169_n141e184.wcnf",136.37,1.18,2.34,6.17,8.37,34.65,0.79
"g4_n58e71_n61e85_n100e127_n104e131.wcnf",505.24,18.15,134.13,21.98,24.07,30.66,12.5
"g4_n69e80_n69e80_n69e80_n79e87.wcnf",9.86,0.6,0.67,4.45,5.45,1.01,0.48
"g5_n39e38_n43e43_n61e61_n67e68_n82e119.wcnf",656.51,94.15,1153.15,438.51,24.13,150.3,38.83
"g6_n25e24_n28e29_n32e33_n37e37_n38e39_n40e39.wcnf",253.81,47.79,21.06,31.59,43.79,55.23,35.87
"g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf",410.97,48.39,57.52,39.73,67.84,3600,57.09
"g8_n44e59_n44e58_n47e63_n58e76_n67e94_n75e107_n123e161_n133e175.wcnf",491.16,10.62,15.55,18.39,29.21,95.74,10.04
"geffe128_1.wcnf",40.93,169.69,23.08,11.92,3600,3600,7.34
"geffe128_4.wcnf",6.15,341.5,98.85,33.32,3600,3600,438.88
"geffe128_5.wcnf",18.64,6.92,11.36,51.09,3600,3600,25.97
"geffe128_8.wcnf",24.96,223.43,415.7,73.88,3600,3600,49.05
"gen_add_4_33.wcnf",25.24,4.59,0.22,3.16,10.52,3600,0.11
"gen_add_5_33.wcnf",1310.48,4,3600,3600,148.93,3600,24.04
"gen_cvc-add3-carry2-gadget_33.wcnf",5.66,11.2,2.85,12.24,46.41,3600,0.67
"gen_cvc-add3-carry2-gadget_399.wcnf",4.5,1.66,1.66,6.44,15.86,3600,0.37
"gen_cvc-add3-carry2-gadget_9999.wcnf",2.35,52.25,1.12,7.32,10.44,1816.31,1.3
"gen_cvc-add7to3_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_cvc-plus_4_33.wcnf",21.22,0.12,0.12,1.01,55.88,3600,0.12
"gen_mult_3_5_399.wcnf",2.95,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_991.wcnf",33.35,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_9999.wcnf",1249.79,3600,3600,3600,3600,3600,3600
"gen_mult_3_6_399.wcnf",2.21,3600,3600,3600,3600,3600,3600
"gen_mult_4_4_9999.wcnf",2.94,3600,3600,1599.77,219.26,3600,3600
"gen_mult_4_5_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_mult_4_6_299.wcnf",16.23,3600,3600,3600,47.45,3600,8.71
"gen_mult_4_6_991.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_square_5_299.wcnf",1.7,0.26,0.17,0.17,45.51,3600,0.5
"gen_square_5_399.wcnf",2.95,0.51,3600,3600,54.83,3600,2.54
"GenHyperTW_2bitcomp_5.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_aim-50-1_6-yes1-3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_dubois21.wcnf",3600,3600,3600,725.7,283.08,3600,3600
"GenHyperTW_grid4d_3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_hole9.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-1-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-4-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-5-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_s208.wcnf",3600,3600,3600,3600,3600,3600,3600
"glass.wcnf",0.45,38.45,198.23,244.08,10.02,3600,60.48
"glass2.wcnf",0.19,11.56,0.11,0.12,0.87,3600,0.47
"GreeceWesternGreeceUniversityInstance4xml.wcnf",3600,3600,3600,3600,3600,3600,3600
"hamming8-2clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"heart_train_0_DNF_2_1.wcnf",11.86,48.13,27.11,27.47,11.19,16.56,2.23
"heart_train_0_DNF_3_1.wcnf",3600,3600,3600,3600,1135.68,3600,3600
"heart-h.wcnf",3600,3600,3600,3600,3600,3600,3600
"heatShock_WT_121_12lpsm-extracted.wcnf",2.89,1.11,13.16,13.35,3.86,2.92,5.68
"heatShock_WT_148_12lpsm-extracted.wcnf",2.71,1.04,13.09,13.22,3.49,3.42,5.52
"heatShock_WT_161_12lpsm-extracted.wcnf",2.8,1.09,13.79,13.99,3.99,2.36,5.66
"heatShock_WT_192_12lpsm-extracted.wcnf",2.88,1.06,13.27,13.42,3.73,2.77,5.59
"heatShock_WT_196_12lpsm-extracted.wcnf",2.87,1.14,14.05,14.28,3.51,2.42,5.63
"heatShock_WT_28_12lpsm-extracted.wcnf",2.98,1.16,13.4,13.52,3.71,6.2,6.05
"heatShock_WT_30_12lpsm-extracted.wcnf",3.24,1.19,14.05,14.17,3.71,5.34,5.84
"heatShock_WT_36_12lpsm-extracted.wcnf",3.09,1.1,14.58,14.61,3.78,2.83,5.99
"heatShock_WT_42_12lpsm-extracted.wcnf",2.73,1.08,14.15,14.39,3.88,3,5.58
"heatShock_WT_43_12lpsm-extracted.wcnf",2.87,1.08,13.47,13.7,3.67,2.93,5.34
"house-votes-84.wcnf",3600,3600,47.92,59.67,71.04,97.76,3600
"hungarian.wcnf",3600,3600,3600,3600,3600,3600,3600
"ilpd_train_4_CNF_2_1.wcnf",1.87,2.06,9.43,6.81,3.63,2.56,0.21
"ionosphere_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ionosphere_train_1_DNF_1_1.wcnf",0.44,0.01,0.54,5.23,0.22,0.5,0.02
"ionosphere_train_2_CNF_2_1.wcnf",3600,3547.01,3600,1272.76,227.17,1389.48,1005.39
"iris.wcnf",3.91,11.82,667.14,160.96,44.98,1346.94,1.48
"k50-23-49rnapre.wcnf",63.86,44.28,28.36,33.2,39.64,1.96,0.54
"k50-40-60rnapre.wcnf",57.39,29.87,148.16,101.26,48.42,1.17,0.51
"kbtree9_7_3_5_30_3wcsp.wcnf",75.97,711.06,8.39,18.2,12.7,177.17,68.73
"kbtree9_7_3_5_40_1wcsp.wcnf",200.96,3600,2469.65,3600,979.14,3600,3600
"kbtree9_7_3_5_40_3wcsp.wcnf",93.72,3600,214.6,538.88,493.91,3600,3600
"kbtree9_7_3_5_50_1wcsp.wcnf",71.58,3600,3139.73,3600,698.59,3600,3600
"kbtree9_7_3_5_50_4wcsp.wcnf",138.61,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_50_6wcsp.wcnf",62.44,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_60_1wcsp.wcnf",37.4,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_70_5wcsp.wcnf",61.72,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_2wcsp.wcnf",45.26,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_5wcsp.wcnf",26.23,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_90_4wcsp.wcnf",12.61,3600,2734.53,1940.43,3600,3600,3600
"kbtree9_7_3_5_90_5wcsp.wcnf",20.37,3600,3600,3600,2138.51,3600,3600
"keller4clq.wcnf",16.96,25.39,14.4,35.23,68.48,6.02,2.52
"keller5clq.wcnf",3600,3600,3025.42,551.07,699.54,3600,3600
"liver-disorder.wcnf",3600,3600,3600,3600,3600,3600,3600
"lupus.wcnf",1.99,0.81,1.35,11.39,6.63,626.7,0.77
"maxcut-140-630-07-15.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-07-48.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-34.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-36.wcnf",3600,3600,3600,3600,3600,3600,3600
"mem_ctrl-debugdimacs.wcnf",19.99,2.54,1.05,1.23,25.45,25.32,1.79
"mem_ctrl1dimacsfiltered.wcnf",58.27,46.29,6.48,8.13,139.8,3600,16.95
"MinFill_R0_miles1500.wcnf",473.05,443.59,3600,3600,3600,3600,3600
"MinFill_R0_mulsoli2.wcnf",372.59,3600,3600,3600,1837.52,3600,3600
"MinFill_R0_mulsoli3.wcnf",368.33,3600,3600,3600,1195.84,3600,3600
"MinFill_R0_mulsoli4.wcnf",757.18,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel4.wcnf",1.45,4.59,3600,3600,3600,2074.52,1.27
"MinFill_R0_myciel5.wcnf",226.74,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel6.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel7.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_queen11_11.wcnf",3600,3600,3600,3600,3600,3600,3600
