"InstanceName","MaxHS","maxino2018","Open-WBO-g","Open-WBO-ms","Open-WBO-ms-pre","QMaxSAT2018","UWrMaxSat-1.0"
"AES2-74-11.wcnf",1942.34,11.53,41.34,46.38,145.87,3600,11.95
"AES2-74-73.wcnf",6.68,2.4,98.57,112.98,35.13,3600,2.9
"apt-cudf-universe0ea62c_l1.wcnf",2.79,0.07,0.06,0.08,0.16,3600,0.35
"atcoss_mesat_01.wcnf",56.21,42.86,158.43,289.83,128.35,56.75,44.97
"atcoss_mesat_03.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_mesat_05.wcnf",3314.51,3600,3600,3600,3733.08,3808.14,4171.08
"atcoss_mesat_06.wcnf",67.89,75.18,296.26,422.05,119.46,266.81,54.11
"atcoss_mesat_10.wcnf",2891.28,1210.21,3600,2424.29,748.64,1341.59,516.72
"atcoss_mesat_12.wcnf",8.1,6.44,47.01,83.11,42.4,55.12,7.66
"atcoss_mesat_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_01.wcnf",36.27,30.21,63.42,117.58,90.48,15.4,30.96
"atcoss_sugar_02.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_04.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_05.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_12.wcnf",184.05,16.94,47.98,152.48,113.79,28.41,16.96
"atcoss_sugar_15.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_18.wcnf",3600,3600,3600,3600,3600,3600,3600
"atcoss_sugar_19.wcnf",124.12,122.78,1992.11,98.63,66.19,1389.16,58.2
"australian.wcnf",3600,3600,3600,3600,3600,3600,3600
"b14_C-mbd14-0225.wcnf",1199.69,175.47,25.32,46.58,145.15,3138.71,24.76
"b14_C-mbd14-0307.wcnf",85.92,181.66,25.4,33.72,133.72,409.77,8.44
"b14-s_PathRelaxation_FS_14.wcnf",0.27,0.07,0.5,9.55,0.67,22.8,0.09
"b14-s_PathRelaxation_FS_16.wcnf",0.28,0.06,1.79,4.67,0.13,26.17,0.09
"b14-s_PathRelaxation_FS_25.wcnf",0.09,0.09,0.4,8.45,3.1,33.21,0.09
"b14-s_PathRelaxation_FS_46.wcnf",0.23,0.07,0.7,9.25,3.02,34.75,0.09
"b14-s_PathRelaxation_Set_FS_47.wcnf",4.17,0.81,5.33,28.52,4.52,364.09,0.69
"b17_C-mbd14-0304.wcnf",2.48,0.3,0.41,0.43,0.54,3,0.74
"b17_C-mbd14-0370.wcnf",5.73,0.46,0.39,0.43,1.23,21.49,1.18
"b18-s_PathRelaxation_Set_FS_32.wcnf",74.03,22.81,115.18,562.01,99.7,30.78,18.51
"b20_C-mbd14-0255.wcnf",62.85,1.88,3.95,25.88,16.41,187.19,2.79
"b20_C-mbd14-0328.wcnf",12.21,0.35,1.1,17.35,9.79,15.05,0.72
"b20_C-mbd14-0354.wcnf",14.83,0.63,1.15,22.99,14.1,127.92,1.18
"b21_C-mbd14-0205.wcnf",60.49,0.98,2.3,20.61,15.59,161.11,1.33
"b21_C-mbd14-0217.wcnf",55.23,0.36,1.24,14.44,17.01,17.77,0.88
"b21_C-mbd14-0267.wcnf",28.67,3.3,3.03,21.05,14.01,68.4,1.16
"b21_C-mbd14-0295.wcnf",208.24,13.77,16.36,37.03,64.96,509.08,10.39
"b21_C-mbd14-0349.wcnf",26.11,0.4,1.08,22.78,13.68,16.88,0.82
"b21-s_PathRelaxation_FS_28.wcnf",2.28,0.21,1.97,15.6,7.27,56.38,0.32
"b21-s_PathRelaxation_FS_42.wcnf",4.65,2.08,34.51,28.84,12.72,189.93,0.36
"b21-s_PathRelaxation_FS_47.wcnf",3.69,0.88,46.81,51.18,48.62,72.28,0.38
"b21-s_PathRelaxation_FS_48.wcnf",4.12,0.22,2.57,13.95,6.04,19.09,0.31
"b21-s_PathRelaxation_Set_FS_31.wcnf",15.84,5.85,45.38,224.86,77.37,606.75,2.2
"b22_C-mbd14-0222.wcnf",5.48,0.37,0.65,0.67,11.28,6.86,0.82
"b22_C-mbd14-0223.wcnf",5.32,0.37,0.61,0.63,0.84,15.2,0.76
"b22_C-mbd14-0240.wcnf",9.63,0.51,0.63,0.7,1.63,10.04,1.42
"b22_C-mbd14-0241.wcnf",20.24,0.41,0.65,0.88,8.35,5.72,1.02
"b22_C-mbd14-0300.wcnf",9.07,0.45,0.57,3.69,0.78,6.27,1.07
"bnn-last-layer-f10.wcnf",3600,3600,2884.93,1539.19,3600,3600,3600
"brock200_2clq.wcnf",91.91,42.2,34.95,63.19,35.63,12.59,10.1
"brock400_4clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"c-fat500-2clq.wcnf",31.66,0.41,12.14,16.65,24.04,0.39,0.34
"c5315_F1@0.wcnf",0,0,0,0.01,0.02,3600,0
"c6_DD_s3_f1_e2_v1-bug-fourvec-gate-0dimacsseqfiltered.wcnf",19.03,4.17,1.07,1.13,9.6,456.84,3.27
"causal_n5_i7_N1000_uai13_harddeps_int.wcnf",11.67,7.08,24.98,141.91,50.93,10.58,5.56
"causal_n5_i8_N10000_uai13_harddeps_int.wcnf",18.06,9.46,13.19,98.55,22.02,8.82,5.9
"causal_n5_i9_N10000_uai13_constant_int.wcnf",17.64,2.78,5.62,37.05,8.68,3.95,3.56
"causal_n6_i1_N500_uai13_harddeps_int.wcnf",376.62,383.04,352.75,1029.81,514.16,191.98,105.97
"causal_n6_i3_N500_uai14_harddeps_int.wcnf",16.16,8.71,4.33,27.91,5.71,14.29,2.63
"causal_n6_i8_N1000_uai14_constant_int.wcnf",16.46,2.38,1.07,17.56,7.94,3.18,0.71
"causal_n7_i10_N1000_uai14_constant_int.wcnf",85.76,8.6,9.35,49.25,11.5,46.83,5.77
"causal_n7_i7_N1000_uai14_harddeps_int.wcnf",224.24,395.85,120.22,219.17,70.18,379.71,397.84
"causal_n7_i8_N1000_uai14_constant_int.wcnf",1.97,0.93,2.25,29.94,9.39,15.91,1.62
"causal_n7_i9_N1000_uai14_harddeps_int.wcnf",162.5,22.21,18.69,72.11,39.45,74.88,18.96
"cleve.wcnf",3600,3600,3600,3600,3600,3600,3600
"cleveland.wcnf",3600,3600,3600,3600,3600,3600,3600
"cloud.wcnf",0.24,6.26,0.35,0.37,1.54,3600,1.36
"cnf_10_center.wcnf",3600,187.72,3600,2204.07,627.71,1710.34,48.56
"cnf_10.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_12_center.wcnf",2146.93,59.63,334.47,482.06,161.62,292.9,32.82
"cnf_12.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf_small.wcnf",3600,3600,3600,3600,3600,3600,3600
"cnf10p8.wcnf",297.03,94.82,42.92,198.95,143.55,21.44,14.44
"cnf12t9.wcnf",20.8,13.32,16.4,103.19,77.31,18.03,5.32
"cnf13p8.wcnf",322.38,74.42,51.35,155.22,101.19,120.42,21.61
"cnf13p9.wcnf",414.74,309,68.78,138.54,124.45,141.08,72.4
"cnf14t7.wcnf",49.85,10.52,10.82,67.01,111.58,8.24,3.82
"cnf15p7.wcnf",590.53,424.19,327.86,213.03,108.23,387.37,36.95
"cnf16p6.wcnf",284.66,66.51,241.44,308.72,120.88,92.85,46.32
"cnf16p7.wcnf",228.09,53.6,106.24,237.32,91.26,28.53,34.11
"cnf17p10.wcnf",832.2,405.31,546.53,460.57,179.33,593,511.64
"cnf18d7.wcnf",14.07,8.44,11.69,41.78,42.76,8.45,4.8
"cnf18p4.wcnf",118.07,20.06,30.87,147.46,63.35,24.68,71.59
"cnf18p5.wcnf",466.23,47.47,103.28,143.13,129.19,90.35,125.77
"cnf18p8.wcnf",574.82,158.16,313.34,238.28,111.1,220.16,53.72
"cnf18t9.wcnf",34.69,12.85,19.86,76.65,77.17,9.69,5.72
"cnf20d10.wcnf",19.77,9.83,14.32,45.19,63.18,11.2,5.4
"cnf20p5.wcnf",568.29,76.16,67.24,111.99,66.63,85.55,187.1
"cnf20p7.wcnf",598.75,101.96,241.43,135.03,133.38,274.06,399.59
"cnf8p7.wcnf",117.26,12.45,10.5,59.1,53.14,7.79,1.76
"cnf9p10.wcnf",164.3,33.54,13.7,88.97,38.01,19.33,4.83
"cnf9p8.wcnf",157.85,10.38,15.37,62.56,36.93,25.05,6.03
"compas_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"compas_train_8_CNF_2_1.wcnf",3600,3600,3600,3600,3600,3600,68.51
"compas_train_9_DNF_3_1.wcnf",1433.19,3600,3600,3739.74,3600,3600,3600
"credit_train_0_CNF_4_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"credit_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ctrl.wcnf",48.1,0.08,0.25,1.4,0.42,0.1,0.09
"d4.wcnf",3600,3600,3600,3600,3600,3600,3600
"diabetes.wcnf",3600,3600,3600,3600,3600,3600,3600
"divider-debugdimacs.wcnf",20.68,5.87,1.31,1.46,15.55,95.13,2.37
"divider-problemdimacs_2filtered.wcnf",688.72,37.46,10.36,283.99,112.35,364.05,14.25
"dividers1dimacsfiltered.wcnf",19.41,0.86,0.27,0.6,8.63,1.68,0.77
"dividers9dimacsfiltered.wcnf",82.9,1.29,0.36,0.37,8.19,26.36,1.02
"dp06s06shuffledcnf.wcnf",2.32,1.65,281.77,125.01,348.96,34.9,0.9
"dp07s07shuffledcnf.wcnf",5.1,7.15,1065.03,1943.51,3600,466.8,6.32
"dp43.wcnf",42.83,11.79,3.65,32.76,40.29,15.27,12.67
"extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf",231.16,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_1_10_0.wcnf",3600,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf",3600,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_3_10_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf",1018.73,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_2_10_1.wcnf",768.44,3600,3600,3600,3600,3600,3600
"extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf",112.17,3600,3600,3600,3600,3600,3600
"extension-enforcement_strict_com_100_005_0_30_3.wcnf",50.4,0.43,3600,3600,6.66,3600,2.54
"extension-enforcement_strict_com_150_005_0_15_2.wcnf",80.6,1.38,10.02,42.84,11.05,3600,7.21
"extension-enforcement_strict_com_150_005_3_30_0.wcnf",211.86,0.73,277.56,235.73,25.11,3600,10.03
"extension-enforcement_strict_com_150_005_4_15_1.wcnf",123.51,0.46,9.86,33.65,16.12,3600,6.99
"extension-enforcement_strict_com_150_02_4_8_3.wcnf",140.24,0.23,3600,3600,5.76,3600,3.21
"extension-enforcement_strict_com_200_005_1_40_1.wcnf",12.04,1.99,1.92,71.09,9.2,3600,15.85
"extension-enforcement_strict_com_200_005_4_20_3.wcnf",652.48,0.71,3600,3600,33.11,3600,19.61
"extension-enforcement_strict_com_200_02_1_10_0.wcnf",6.92,0.34,3600,2054.81,17.58,3600,6.8
"ff4a1d84-d490-11df-9e6c-00163e3d3b7c_l3.wcnf",3.7,5.41,2.97,11,8.96,4.21,1.27
"fpu8-problemdimacs_24filtered.wcnf",50.71,5.63,1.7,70.31,72.6,40.85,4.45
"frb35-17-1partial.wcnf",4.09,3600,23.62,15.4,3600,16.41,1.01
"frb35-17-2partial.wcnf",2288.54,3600,21.27,42.79,3600,72.36,10.45
"frb35-17-3partial.wcnf",31.22,3600,3.53,13.7,3600,11.32,1.81
"frb35-17-5partial.wcnf",5.43,3600,56.08,19.9,3600,73.36,14.96
"frb40-19-1partial.wcnf",14.06,3600,47.78,14.58,3600,35.39,6.51
"frb40-19-2partial.wcnf",36.82,3600,26.51,34.24,3600,43.67,18.02
"frb40-19-3partial.wcnf",3600,3600,988.25,75.12,3600,1750.06,98.17
"frb40-19-4partial.wcnf",263.83,3600,4.34,160.64,3600,361.14,228.86
"frb40-19-5partial.wcnf",82.67,3600,242.03,76.13,3600,784.34,55.34
"ft10-808-1090.wcnf",146.45,63.2,49.64,368.08,185.98,22.6,54.98
"g2_n26e25_n48e52.wcnf",979.02,0.25,0.17,1.5,3.09,0.22,0.15
"g2_n37e45_n71e77.wcnf",47.19,1.3,0.72,5.09,4.95,8.32,0.52
"g2_n38e39_n146e164.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n38e52_n53e67.wcnf",3600,54.48,19.76,24.82,13.39,54.51,11.13
"g2_n42e55_n44e53.wcnf",3600,3600,3600,3600,3600,3600,3600
"g2_n44e59_n69e83.wcnf",3600,2962.2,1555.19,194.74,176.7,684.19,434.91
"g2_n45e48_n47e54.wcnf",760.98,175.62,102.15,34.3,46.83,229.17,64.88
"g2_n50e50_n58e61.wcnf",1958.9,18.01,11.86,13.88,10.26,430.63,9.99
"g2_n61e85_n120e154.wcnf",597.91,72.28,142.82,53.27,28.19,3600,42.33
"g2_n67e83_n68e73.wcnf",3600,1145.06,1302.89,259.34,155.44,3600,589.98
"g2_n92e110_n96e105.wcnf",55.83,1.25,1.26,4.61,5.41,40.91,1.01
"g3_n26e25_n27e26_n42e48.wcnf",3600,2685.4,3600,1307.29,858.15,1783.8,2244.54
"g3_n30e43_n32e44_n40e53.wcnf",3600,422.33,1179.96,72.1,62.71,152.37,235.07
"g3_n30e43_n40e53_n44e48.wcnf",3600,507.63,3600,154.21,120.43,196.06,266.46
"g3_n34e43_n59e60_n71e84.wcnf",364.29,148.57,480.71,38.49,35.33,200.66,98.66
"g3_n35e48_n41e57_n56e65.wcnf",3600,398.97,133.1,74.46,99.35,219.34,314.17
"g3_n37e36_n37e35_n39e39.wcnf",1430.61,780.72,1930.05,130.48,90.47,674.74,176.76
"g3_n39e39_n81e90_n91e99.wcnf",4.52,0.2,0.73,4.95,4.36,0.85,0.2
"g3_n39e42_n61e85_n72e77.wcnf",353.66,2085.4,1073.64,122.29,132.03,3423.68,2375.61
"g3_n52e77_n57e74_n58e75.wcnf",3600,10.57,82.13,123.91,24,311.22,29.77
"g3_n66e77_n66e72_n94e112.wcnf",3600,111.93,518.65,184.8,235.62,2490.61,50.91
"g3_n66e77_n74e84_n94e112.wcnf",3600,27.61,49.71,62.69,26.64,184.44,13.15
"g3_n67e86_n89e98_n130e150.wcnf",534.33,8.63,279.61,131.98,61.27,3600,2.56
"g4_n47e57_n58e61_n133e169_n141e184.wcnf",119.53,1.17,2.43,6.42,8.43,34.31,0.79
"g4_n58e71_n61e85_n100e127_n104e131.wcnf",387.54,18.48,137.62,22.21,24.09,30.76,12.54
"g4_n69e80_n69e80_n69e80_n79e87.wcnf",9.93,0.6,0.76,4.43,5.5,1,0.48
"g5_n39e38_n43e43_n61e61_n67e68_n82e119.wcnf",686.26,95.08,1170.15,440.5,24.26,149.14,38.98
"g6_n25e24_n28e29_n32e33_n37e37_n38e39_n40e39.wcnf",390.18,47.91,21.13,31.66,43.98,54.81,36.03
"g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf",408.11,48.22,57.61,39.76,67.88,3600,57.35
"g8_n44e59_n44e58_n47e63_n58e76_n67e94_n75e107_n123e161_n133e175.wcnf",424.62,10.73,16.03,19.05,29.53,96.51,10.13
"geffe128_1.wcnf",41.01,171.51,23.28,11.94,3600,3600,7.38
"geffe128_4.wcnf",6.16,345.11,99.99,33.43,3600,3600,441.41
"geffe128_5.wcnf",18.75,6.93,11.44,51.5,3600,3600,26
"geffe128_8.wcnf",24.99,225.53,427.99,74.68,3600,3600,49
"gen_add_4_33.wcnf",25.28,4.61,0.21,3.17,10.54,3600,0.1
"gen_add_5_33.wcnf",1338.25,3.93,3600,3600,150.51,3600,24.2
"gen_cvc-add3-carry2-gadget_33.wcnf",5.68,11.25,2.96,12.39,45.25,3600,0.66
"gen_cvc-add3-carry2-gadget_399.wcnf",4.52,1.67,1.66,6.47,15.94,3600,0.37
"gen_cvc-add3-carry2-gadget_9999.wcnf",2.35,52.66,1.08,7.07,10.08,1864.13,1.31
"gen_cvc-add7to3_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_cvc-plus_4_33.wcnf",21.25,0.12,0.12,1,56.03,3600,0.1
"gen_mult_3_5_399.wcnf",2.98,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_991.wcnf",33.31,3600,3600,3600,3600,3600,3600
"gen_mult_3_5_9999.wcnf",1275.73,3600,3600,3600,3600,3600,3600
"gen_mult_3_6_399.wcnf",2.22,3600,3600,3600,3600,3600,3600
"gen_mult_4_4_9999.wcnf",2.95,3600,3600,1606.45,224,3600,3600
"gen_mult_4_5_9999.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_mult_4_6_299.wcnf",16.16,3600,3600,3600,47.31,3600,8.7
"gen_mult_4_6_991.wcnf",3600,3600,3600,3600,3600,3600,3600
"gen_square_5_299.wcnf",1.74,0.26,0.17,0.17,45.5,3600,0.51
"gen_square_5_399.wcnf",2.99,0.51,3600,3600,54.5,3600,2.57
"GenHyperTW_2bitcomp_5.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_aim-50-1_6-yes1-3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_dubois21.wcnf",3600,3600,3600,745.08,289.07,3600,3600
"GenHyperTW_grid4d_3.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_hole9.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-1-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-4-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_par8-5-c.wcnf",3600,3600,3600,3600,3600,3600,3600
"GenHyperTW_s208.wcnf",3600,3600,3600,3600,3600,3600,3600
"glass.wcnf",0.44,38.49,199.56,248.37,10.08,3600,60.73
"glass2.wcnf",0.19,11.55,0.11,0.12,0.87,3600,0.47
"GreeceWesternGreeceUniversityInstance4xml.wcnf",3600,3600,3600,3600,3600,3600,3600
"hamming8-2clq.wcnf",3600,3600,3600,3600,3600,3600,3600
"heart_train_0_DNF_2_1.wcnf",12.17,49.12,27.33,27.68,11.26,16.69,2.25
"heart_train_0_DNF_3_1.wcnf",3600,3600,3600,3600,1136.73,3600,3600
"heart-h.wcnf",3600,3600,3600,3600,3600,3600,3600
"heatShock_WT_121_12lpsm-extracted.wcnf",3.06,1.18,13.65,13.77,3.99,3.39,5.69
"heatShock_WT_148_12lpsm-extracted.wcnf",2.9,1.12,13.59,13.69,1.77,4.17,5.44
"heatShock_WT_161_12lpsm-extracted.wcnf",2.96,1.13,14.45,14.54,4.06,2.8,5.6
"heatShock_WT_192_12lpsm-extracted.wcnf",3.04,1.15,13.73,13.93,3.83,3.28,5.56
"heatShock_WT_196_12lpsm-extracted.wcnf",3.07,1.2,14.57,14.77,3.63,2.84,5.63
"heatShock_WT_28_12lpsm-extracted.wcnf",3.16,1.24,13.81,14.07,3.96,7.97,5.95
"heatShock_WT_30_12lpsm-extracted.wcnf",3.42,1.26,14.56,14.58,3.9,6.21,5.77
"heatShock_WT_36_12lpsm-extracted.wcnf",3.21,1.22,14.44,14.8,3.91,3.35,6.03
"heatShock_WT_42_12lpsm-extracted.wcnf",2.89,1.1,14.33,14.6,4.04,3.56,5.56
"heatShock_WT_43_12lpsm-extracted.wcnf",3,1.18,13.69,13.9,3.87,3.74,5.43
"house-votes-84.wcnf",3600,3600,47.94,59.9,71.22,98.4,3600
"hungarian.wcnf",3600,3600,3600,3600,3600,3600,3600
"ilpd_train_4_CNF_2_1.wcnf",1.87,2.08,9.28,6.78,3.63,2.55,0.21
"ionosphere_train_1_CNF_5_1.wcnf",3600,3600,3600,3600,3600,3600,3600
"ionosphere_train_1_DNF_1_1.wcnf",0.45,0.01,0.54,5.25,0.21,0.49,0.03
"ionosphere_train_2_CNF_2_1.wcnf",3600,3674.36,3600,1292.64,230.04,1475.51,1032.57
"iris.wcnf",3.87,12.1,686.89,161.98,45.37,1359,1.46
"k50-23-49rnapre.wcnf",64.02,44.3,28.32,33.24,39.6,1.96,0.54
"k50-40-60rnapre.wcnf",57.59,29.21,147.94,101.5,48.61,1.16,0.51
"kbtree9_7_3_5_30_3wcsp.wcnf",55.41,715.54,8.35,18.17,12.73,178.75,68.75
"kbtree9_7_3_5_40_1wcsp.wcnf",325.92,3600,2490.3,3600,998.52,3600,3600
"kbtree9_7_3_5_40_3wcsp.wcnf",94.54,3600,214.53,540.66,495.89,3600,3600
"kbtree9_7_3_5_50_1wcsp.wcnf",71.82,3600,3240.92,3600,711.56,3600,3600
"kbtree9_7_3_5_50_4wcsp.wcnf",138.62,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_50_6wcsp.wcnf",62.35,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_60_1wcsp.wcnf",37.49,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_70_5wcsp.wcnf",61.88,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_2wcsp.wcnf",45.33,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_80_5wcsp.wcnf",26.46,3600,3600,3600,3600,3600,3600
"kbtree9_7_3_5_90_4wcsp.wcnf",12.63,3600,2775.14,1979.06,3600,3600,3600
"kbtree9_7_3_5_90_5wcsp.wcnf",20.45,3600,3600,3600,2166.73,3600,3600
"keller4clq.wcnf",17.01,26.02,14.44,35.49,68.52,5.88,2.52
"keller5clq.wcnf",3600,3600,3103.37,556,706.19,3600,3600
"liver-disorder.wcnf",3600,3600,3600,3600,3600,3600,3600
"lupus.wcnf",1.96,0.82,1.4,11.52,6.65,637.04,0.76
"maxcut-140-630-07-15.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-07-48.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-34.wcnf",3600,3600,3600,3600,3600,3600,3600
"maxcut-140-630-08-36.wcnf",3600,3600,3600,3600,3600,3600,3600
"mem_ctrl-debugdimacs.wcnf",20.08,2.56,0.99,1.15,25.8,26.41,1.86
"mem_ctrl1dimacsfiltered.wcnf",39.98,48.72,5.77,7.24,140.95,3600,17.08
"MinFill_R0_miles1500.wcnf",816.36,484.97,3600,3600,3600,3600,3600
"MinFill_R0_mulsoli2.wcnf",445,3600,3600,3600,1988.77,3600,3600
"MinFill_R0_mulsoli3.wcnf",349.63,3600,3600,3600,1269.33,3600,3600
"MinFill_R0_mulsoli4.wcnf",381.07,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel4.wcnf",1.46,4.69,3600,3600,3600,2147.61,1.27
"MinFill_R0_myciel5.wcnf",246.3,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel6.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_myciel7.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_queen11_11.wcnf",3600,3600,3600,3600,3600,3600,3600
"MinFill_R0_queen6_6.wcnf",3600,3600,3600,3600,3600,3600,3600
