@RELATION FEATURES_RUNSTATUS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE ALL {ok, timeout, memout, not_applicable, crash, other}

@DATA
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3025-NOTKNOWN.cnf,1,ok
12pipe_bug4_q0used-assat04-723.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,ok
gss-16-s100.cnf,1,ok
smtlib-qfbv-aigs-servers_slapd_a_vc149789-tseitin.cnf,1,ok
ibm-2004-23-k100.cnf,1,ok
hard-25-U-7061.cnf,1,ok
aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,ok
rbcl_xits_18_SAT.cnf,1,ok
rbcl_xits_15_SAT.cnf,1,ok
slp-synthesis-aes-top26.cnf,1,ok
aes_64_4_keyfind_1.cnf,1,ok
aes_128_2_keyfind_1.cnf,1,ok
dp04u03shuffled.cnf,1,ok
1dlx_c_iq60_a.cnf,1,ok
traffic_f_unknown.cnf,1,ok
q_query_3_l46_lambda.cnf,1,ok
slp-synthesis-aes-top30.cnf,1,ok
AProVE11-09.cnf,1,ok
q_query_3_L150_colisat.cnf,1,ok
gss-22-s100.cnf,1,ok
sha0_36_5.cnf,1,ok
E00X23.cnf,1,ok
gus-md5-12.cnf,1,ok
allused-assat04-986.cnf,1,ok
eqatreebraun11unsat.cnf,1,ok
q_query_3_L70_colisat.cnf,1,ok
bc57-sensors-1-k303-unsatshuffled-assat03-406.cnf,1,ok
smtlib-qfbv-aigs-VS3-benchmark-S2-tseitin.cnf,1,ok
vmpc_25renamed-assat05-1913.cnf,1,ok
vmpc_34renamed-assat05-1926.cnf,1,ok
slp-synthesis-aes-bottom17.cnf,1,ok
partial-10-15-s.cnf,1,ok
hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,ok
valves-gates-1-k617-unsatshuffled-assat03-412.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1035-NOTKNOWN.cnf,1,ok
vda_gr_rcs_w9shuffled.cnf,1,ok
slp-synthesis-aes-bottom18.cnf,1,ok
manol-pipe-f7idw.cnf,1,ok
E15N15.cnf,1,ok
slp-synthesis-aes-bottom13.cnf,1,ok
blocks-4-ipc5-h21-unknown.cnf,1,ok
1dlx_c_iq57_a.cnf,1,ok
gss-21-s100.cnf,1,ok
grid-strips-grid-y-4025-NOTKNOWN.cnf,1,ok
minandmaxor016.cnf,1,ok
aaai10-planning-ipc5-pathways-13-step17.cnf,1,ok
slp-synthesis-aes-bottom14.cnf,1,ok
maxor128.cnf,1,ok
AProVE07-21.cnf,1,ok
li-exam-61shuffled-assat03-366.cnf,1,ok
smtlib-qfbv-aigs-nlzbe256-tseitin.cnf,1,ok
UTI-20-10p0.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1025-NOTKNOWN.cnf,1,ok
clauses-8renamed-assat05-1964.cnf,1,ok
gus-md5-11.cnf,1,ok
aes_32_2_keyfind_1.cnf,1,ok
E00N23.cnf,1,ok
aes_32_5_keyfind_1.cnf,1,ok
hard-18-U-10652.cnf,1,ok
11pipe_11_ooo.cnf,1,ok
sokoban-sequential-p145-microban-sequential030-NOTKNOWN.cnf,1,ok
rbcl_xits_09_UNKNOWN.cnf,1,ok
smtlib-qfbv-aigs-countbits128-tseitin.cnf,1,ok
rpoc_xits_09_UNSAT.cnf,1,ok
partial-10-13-s.cnf,1,ok
IBM_FV_2004_rule_batch_30_SAT_datk80.cnf,1,ok
minandmaxor128.cnf,1,ok
countbitswegner128.cnf,1,ok
ferry5_ks99irenamed-assat05-3994.cnf,1,ok
bart17shuffled.cnf,1,ok
SAT_datk100.cnf,1,ok
blocks-blocks-36-0120-NOTKNOWN.cnf,1,ok
aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,ok
countbitssrl064.cnf,1,ok
homer16shuffled.cnf,1,ok
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed040-NOTKNOWN.cnf,1,ok
korf-17.cnf,1,ok
aes_64_1_keyfind_1.cnf,1,ok
AProVE11-11.cnf,1,ok
ibm-2004-01-k90.cnf,1,ok
aes_128_3_keyfind_1.cnf,1,ok
k2fix_gr_rcs_w9shuffled.cnf,1,ok
SAT_datk80_04.cnf,1,ok
transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed020-NOTKNOWN.cnf,1,ok
dekkerused-assat04-989.cnf,1,ok
slp-synthesis-aes-top25.cnf,1,ok
homer17shuffled.cnf,1,ok
aes_128_1_keyfind_1.cnf,1,ok
aaai10-planning-ipc5-TPP-30-step11.cnf,1,ok
SAT_datk20.cnf,1,ok
abb313GPIA-9-trused-assat04-321.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,ok
ndhf_xits_19_UNKNOWN.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtswvrod6x8p1-tseitin.cnf,1,ok
sokoban-sequential-p145-microban-sequential080-SAT.cnf,1,ok
gripper13ushuffled-assat03-395.cnf,1,ok
UCG-15-5p0.cnf,1,ok
x1mulmitershuffled-assat03-359.cnf,1,ok
rovers1_ks99irenamed-assat05-3971.cnf,1,ok
slp-synthesis-aes-bottom24.cnf,1,ok
dp04s04shuffled.cnf,1,ok
maxxor064.cnf,1,ok
manol-pipe-c6bidw_i.cnf,1,ok
mulhs016.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtswvqis8x8p2-tseitin.cnf,1,ok
aes_64_3_keyfind_1.cnf,1,ok
traffic_r_uc_sat.cnf,1,ok
aaai10-planning-ipc5-TPP-21-step11.cnf,1,ok
AProVE11-16.cnf,1,ok
am_7_7shuffled-assat03-363.cnf,1,ok
UTI-10-5t1.cnf,1,ok
2dlx_ca_bp_f_liveness.cnf,1,ok
E04F19.cnf,1,ok
sokoban-sequential-p145-microban-sequential040-NOTKNOWN.cnf,1,ok
aaai10-planning-ipc5-rovers-18-step11.cnf,1,ok
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed040-NOTKNOWN.cnf,1,ok
rand_net70-60-10shuffled.cnf,1,ok
AProVE11-02.cnf,1,ok
traffic_fb_unknown.cnf,1,ok
sortnet-7-ipc5-h15-unsat.cnf,1,ok
blocks-blocks-37-1120-NOTKNOWN.cnf,1,ok
aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,ok
blocks-blocks-36-0170-NOTKNOWN.cnf,1,ok
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed050-SAT.cnf,1,ok
velev-pipe-sat-10-b9.cnf,1,ok
sokoban-sequential-p145-microban-sequential060-NOTKNOWN.cnf,1,ok
ACG-15-5p1.cnf,1,ok
UCG-15-10p1.cnf,1,ok
hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,ok
ibm-2002-30r-k85.cnf,1,ok
grid-strips-grid-y-3035-NOTKNOWN.cnf,1,ok
hsat_vc12062.cnf,1,ok
homer14shuffled.cnf,1,ok
smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,ok
E05F18.cnf,1,ok
UTI-20-10p1.cnf,1,ok
maxxororand064.cnf,1,ok
abb313GPIA-9-cused-assat04-317.cnf,1,ok
mizh-sha0-36-2.cnf,1,ok
blocks-blocks-37-1130-NOTKNOWN.cnf,1,ok
li-test4-100shuffled-assat03-370.cnf,1,ok
9vliw_m_9stages_iq3_C1_bug6.cnf,1,ok
slp-synthesis-aes-top21.cnf,1,ok
countbitsarray04_32.cnf,1,ok
korf-18.cnf,1,ok
smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,1,ok
AProVE11-06.cnf,1,ok
E04N18.cnf,1,ok
UR-10-10p1.cnf,1,ok
hard-6-U-7061.cnf,1,ok
slp-synthesis-aes-bottom12.cnf,1,ok
mizh-sha0-36-4.cnf,1,ok
hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,ok
aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,ok
k2mulmitershuffled-assat03-355.cnf,1,ok
aes_32_4_keyfind_1.cnf,1,ok
hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin.cnf,1,ok
transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed040-SAT.cnf,1,ok
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3035-NOTKNOWN.cnf,1,ok
aes_32_3_keyfind_1.cnf,1,ok
slp-synthesis-aes-bottom21.cnf,1,ok
AProVE11-07.cnf,1,ok
hwmcc10-timeframe-expansion-k45-bobsm5378d2-tseitin.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,ok
myciel6-trused-assat04-320.cnf,1,ok
aaai10-planning-ipc5-pipesworld-27-step13.cnf,1,ok
AProVE07-01.cnf,1,ok
hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,ok
E02F17.cnf,1,ok
AProVE11-10.cnf,1,ok
IBM_FV_2004_rule_batch_30_SAT_datk55.cnf,1,ok
traffic_3_uc_sat.cnf,1,ok
smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf,1,ok
AProVE11-13.cnf,1,ok
ACG-10-10p0.cnf,1,ok
k2fix_gr_rcs_w8shuffled.cnf,1,ok
slp-synthesis-aes-bottom22.cnf,1,ok
countbitsrotate032.cnf,1,ok
minxorminand128.cnf,1,ok
smtlib-qfbv-aigs-src_wget_vc18517-tseitin.cnf,1,ok
post-c32s-gcdm16-23.cnf,1,ok
blocks-blocks-36-0180-SAT.cnf,1,ok
UTI-20-10t0.cnf,1,ok
slp-synthesis-aes-bottom16.cnf,1,ok
slp-synthesis-aes-top24.cnf,1,ok
gss-27-s100.cnf,1,ok
12pipe_bug6_q0used-assat04-725.cnf,1,ok
traffic_pcb_unknown.cnf,1,ok
AProVE07-03.cnf,1,ok
aes_64_2_keyfind_1.cnf,1,ok
c6288mulmitershuffled-assat03-346.cnf,1,ok
rand_net60-25-10shuffled.cnf,1,ok
vmpc_35renamed-assat05-1921.cnf,1,ok
UCG-20-5p1.cnf,1,ok
E04F20.cnf,1,ok
traffic_3b_unknown.cnf,1,ok
hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf,1,ok
vmpc_29renamed-assat05-1916.cnf,1,ok
9vliw_m_9stages_iq3_C1_bug5.cnf,1,ok
E03N17.cnf,1,ok
slp-synthesis-aes-bottom19.cnf,1,ok
vmpc_32renamed-assat05-1919.cnf,1,ok
c10idw_i.cnf,1,ok
traffic_b_unsat.cnf,1,ok
